simID,time,cellID,cellType,x,y
0,1250,84,B,5.34996781,5.657060951
0,1250,85,B,8.394071435,10.24803637
0,1250,86,B,6.112556462,7.094942744
0,1250,87,B,5.29305893,3.724849616
0,1250,88,B,5.255731897,9.779629107
0,1250,89,B,4.464853672,3.382701092
0,1250,90,B,3.944160696,8.861056915
0,1250,91,B,11.0620639,4.866932124
0,1250,92,B,8.861686718,6.173044481
0,1250,93,B,5.52178876,8.94020307
0,1250,94,B,11.21872038,4.051447068
0,1250,95,B,3.930619865,2.78909631
0,1250,96,B,4.846565769,4.452711801
0,1250,97,B,8.853499237,9.053147773
0,1250,98,B,4.226943635,7.470759948
0,1250,99,B,9.34847015,2.853169634
0,1250,100,B,8.840251268,5.467269595
0,1500,1,A,4.28740502,6.027874175
0,1500,2,A,2.60376012,7.576910617
0,1500,3,A,8.422584331,7.048012051
0,1500,4,A,8.091358659,8.6463087
0,1500,5,A,9.719797526,7.875410365
0,1500,6,A,5.953242152,3.115425617
0,1500,7,A,9.314004011,1.940130285
0,1500,8,A,10.38684091,3.265196656
0,1500,9,A,7.395180067,9.648638886
0,1500,10,A,6.823042164,3.622391185
0,1500,11,A,7.240227414,10.38536001
0,1500,12,A,8.88255062,8.138708679
0,1500,13,A,6.305110096,9.317137297
0,1500,14,A,3.933213091,4.313593932
0,1500,15,A,2.602965107,4.415282292
0,1500,16,A,10.48271944,7.489491956
0,1500,17,A,6.643194737,4.574596601
0,1500,18,A,7.110219459,8.039604888
0,1500,19,A,3.821658638,6.703015183
0,1500,20,A,10.31164206,3.999012084
0,1500,21,A,6.05632724,4.049144649
0,1500,22,A,3.425515373,10.63333128
0,1500,23,A,7.114751029,5.841070537
0,1500,24,A,6.304796768,10.1264649
0,1500,25,A,2.492286869,5.367738682
0,1500,26,A,4.286587544,5.18574549
0,1500,27,A,3.303511592,4.865477718
0,1500,28,A,6.424337112,5.365003256
0,1500,29,A,9.060521227,7.082791518
0,1500,30,A,6.888841156,2.725331592
0,1500,31,A,6.589925734,1.899710904
0,1500,32,A,10.47175295,6.571752679
0,1500,33,A,8.326626678,4.690116717
0,1500,34,A,8.784220568,4.227258537
0,1500,35,A,5.865069298,2.329022955
0,1500,36,A,7.921386214,7.671353189
0,1500,37,A,2.222900627,6.829302436
0,1500,38,A,6.950225205,7.301027205
0,1500,39,A,3.430007465,5.782164772
0,1500,40,A,6.374582433,8.429954639
0,1500,41,A,3.159737199,3.731601137
0,1500,42,A,3.298609444,7.227654793
0,1500,43,A,3.285202208,9.805600659
0,1500,44,A,4.201436487,10.03533038
0,1500,45,A,6.836828619,6.521620114
0,1500,46,A,4.249241315,10.8699682
0,1500,47,A,7.776215909,6.556911296
0,1500,48,A,2.653058193,6.208943428
0,1500,49,A,9.741697461,6.787322711
0,1500,50,A,7.196843105,8.904796946
0,1500,51,B,8.51873821,3.28900013
0,1500,52,B,4.68292325,9.321445169
0,1500,53,B,8.490416024,2.336580628
0,1500,54,B,9.249017468,10.07185914
0,1500,55,B,1.427838131,6.093926664
0,1500,56,B,7.671716663,3.974751726
0,1500,57,B,7.688575843,2.053409627
0,1500,58,B,3.325982392,2.828103351
0,1500,59,B,7.682753616,3.030910673
0,1500,60,B,4.951530828,2.734731448
0,1500,61,B,3.069674927,8.866725166
0,1500,62,B,9.831903016,8.763122065
0,1500,63,B,5.195613756,7.257628841
0,1500,64,B,3.511483906,8.156618789
0,1500,65,B,5.240733065,10.65411015
0,1500,66,B,4.682204381,8.298142263
0,1500,67,B,9.375923401,3.695072384
0,1500,68,B,5.872626972,6.325457557
0,1500,69,B,9.734177576,4.69679473
0,1500,70,B,9.933767852,5.708219238
0,1500,71,B,0.9425175507,4.802471899
0,1500,72,B,9.883547116,9.668783235
0,1500,73,B,8.089176269,5.569141899
0,1500,74,B,4.920197975,6.536973212
0,1500,75,B,7.45155086,4.963816771
0,1500,76,B,9.16651287,10.82038369
0,1500,77,B,1.495159679,5.43050309
0,1500,78,B,10.52720894,5.092612118
0,1500,79,B,5.543238382,8.004520615
0,1500,80,B,1.740298387,4.527831148
0,1500,81,B,8.303048706,9.590687276
0,1500,82,B,5.545442703,4.882256881
0,1500,83,B,1.331880098,6.829314969
0,1500,84,B,5.325640374,5.673293341
0,1500,85,B,8.288248263,10.48942058
0,1500,86,B,6.088020658,7.255051356
0,1500,87,B,5.247229515,3.729081913
0,1500,88,B,5.356351294,9.897108414
0,1500,89,B,4.388173996,3.566906843
0,1500,90,B,3.949514048,8.958361956
0,1500,91,B,11.1839487,4.794239904
0,1500,92,B,8.93999574,6.110685844
0,1500,93,B,5.461993395,8.906717856
0,1500,94,B,11.31116009,4.016558482
