"time"	"cell.id"	"boundary"	"b"	"b2"	"time"
30	6	1436.872999	2	21.66488794	30
30	7	1436.872999	4	32.81750267	30
30	8	1436.872999	5	43.70330843	30
30	9	1436.872999	3	15.79509072	30
30	10	1436.872999	3	13.98078975	30
30	11	1436.872999	5	40.71504803	30
30	12	1436.872999	2	12.16648879	30
30	13	1436.872999	4	31.16328709	30
30	14	1436.872999	4	32.5506937	30
30	15	1436.872999	3	37.83351121	30
30	16	1436.872999	1	0.5336179296	30
30	17	1436.872999	5	50.32017076	30
30	18	1436.872999	2	22.57203842	30
30	19	1436.872999	4	54.26894344	30
30	20	1436.872999	5	41.83564568	30
30	21	1436.872999	3	26.14727855	30
30	22	1436.872999	1	1.760939168	30
30	23	1436.872999	5	25.18676628	30
30	24	1436.872999	2	4.535752401	30
30	25	1436.872999	4	47.27854856	30
30	26	1436.872999	3	12.96691569	30
30	27	1436.872999	4	29.61579509	30
30	28	1436.872999	4	41.40875133	30
30	29	1436.872999	2	18.14300961	30
30	30	1436.872999	3	40.50160085	30
30	31	1436.872999	1	10.29882604	30
30	32	1436.872999	2	42.26254002	30
30	33	1436.872999	5	35.75240128	30
30	34	1436.872999	5	34.68516542	30
30	35	1436.872999	2	16.59551761	30
30	36	1436.872999	3	9.124866596	30
30	37	1436.872999	4	49.30629669	30
30	38	1436.872999	4	21.2379936	30
30	39	1436.872999	2	13.660619	30
30	40	1436.872999	4	20.86446105	30
30	41	1436.872999	4	51.22732124	30
30	42	1436.872999	4	55.60298826	30
30	43	1436.872999	2	29.34898613	30
30	44	1436.872999	3	41.40875133	30
30	45	1436.872999	4	20.91782284	30
30	46	1436.872999	2	31.59018143	30
30	47	1436.872999	4	42.4226254	30
30	48	1436.872999	2	21.66488794	30
30	49	1436.872999	3	45.51760939	30
30	50	1436.872999	3	25.34685165	30
30	51	1436.872999	2	10.45891142	30
30	52	1436.872999	1	21.71824973	30
30	53	1436.872999	4	27.74813234	30
30	54	1436.872999	3	15.9018143	30
30	55	1436.872999	4	38.6339381	30
30	56	1436.872999	3	25.82710779	30
30	57	1436.872999	3	43.38313767	30
30	58	1436.872999	2	38.74066169	30
30	59	1436.872999	3	26.94770544	30
30	60	1436.872999	2	21.61152615	30
30	61	1436.872999	4	50.48025614	30
30	62	1436.872999	4	33.88473853	30
30	63	1436.872999	0	0	30
30	64	1436.872999	5	62.32657417	30
30	65	1436.872999	4	27.64140875	30
30	66	1436.872999	1	12.05976521	30
30	67	1436.872999	3	36.3927428	30
30	68	1436.872999	4	23.05229456	30
30	69	1436.872999	3	16.80896478	30
30	70	1436.872999	5	37.83351121	30
30	71	1436.872999	2	20.38420491	30
30	72	1436.872999	2	9.124866596	30
30	73	1436.872999	5	34.47171825	30
30	74	1436.872999	1	11.84631804	30
30	75	1436.872999	4	47.7054429	30
30	76	1436.872999	1	15.42155816	30
30	77	1436.872999	2	19.90394877	30
30	78	1436.872999	3	50.26680896	30
30	79	1436.872999	3	25.82710779	30
30	80	1436.872999	6	56.61686233	30
30	81	1436.872999	5	41.51547492	30
30	82	1436.872999	3	18.08964781	30
30	83	1436.872999	2	25.7203842	30
30	84	1436.872999	5	32.5506937	30
30	85	1436.872999	3	22.57203842	30
30	86	1436.872999	6	26.84098186	30
30	87	1436.872999	3	35.96584845	30
30	88	1436.872999	6	40.55496265	30
30	89	1436.872999	3	15.9018143	30
30	90	1436.872999	4	46.9583778	30
30	91	1436.872999	3	34.95197439	30
30	92	1436.872999	5	52.40128068	30
30	93	1436.872999	2	20.81109925	30
30	94	1436.872999	2	21.02454642	30
30	95	1436.872999	2	29.72251868	30
30	96	1436.872999	4	21.1846318	30
30	97	1436.872999	5	7.630736393	30
30	98	1436.872999	3	24.17289221	30
30	99	1436.872999	3	25.7203842	30
30	100	1436.872999	6	29.5624333	30

40	1	1246.051227	4	33.2977588	40
40	2	1246.051227	2	21.55816435	40
40	3	1246.051227	4	29.13553895	40
40	4	1246.051227	5	15.95517609	40
40	5	1246.051227	2	13.02027748	40
40	6	1246.051227	2	22.83884739	40
40	7	1246.051227	4	31.64354322	40
40	8	1246.051227	4	40.23479189	40
40	9	1246.051227	3	11.25933831	40
40	10	1246.051227	3	16.00853789	40
40	11	1246.051227	4	31.91035219	40
40	12	1246.051227	3	6.883671291	40
40	13	1246.051227	4	26.89434365	40
40	14	1246.051227	3	24.43970117	40
40	15	1246.051227	3	25.56029883	40
40	16	1246.051227	0	0	40
40	17	1246.051227	4	48.71931697	40
40	18	1246.051227	2	27.00106724	40
40	19	1246.051227	4	48.34578442	40
40	20	1246.051227	4	32.65741729	40
40	21	1246.051227	4	31.64354322	40
40	22	1246.051227	1	0.6403415155	40
